GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Colesterol (mg),Vitamina A     (µg RE),Calcio (mg),Hierro (mg),Sodio (mg),Selenio (mg)
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cruda,40,g,40,34,39,7.9,0.6,0.0,19.7,2.7,4.1,0.2,23.1,6.1
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en brocheta cruda,30,g,30,30,34,7.0,0.5,0.0,17.4,2.4,3.6,0.2,20.4,5.3
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en fajitas cruda,30,g,30,30,34,7.0,0.5,0.0,17.4,2.4,3.6,0.2,20.4,5.3
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel horneada rebanada,2,rebanada,42,42,41,8.2,0.3,1.6,21.5,0.0,3.7,0.5,479.7,11.0
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel molida cruda,30,g,30,30,34,7.0,0.5,0.0,17.4,2.4,3.6,0.2,20.4,5.3
A.O.A MUY BAJOS EN GRASA,Pechuga sin piel deshebrada,30,g,30,30,34,7.0,0.5,0.0,17.4,2.4,3.6,0.2,20.4,5.3
A.O.A MUY BAJOS EN GRASA,Pechuga sin piel desmenuzada,30,g,30,30,34,7.0,0.5,0.0,17.4,2.4,3.6,0.2,20.4,5.3
A.O.A MUY BAJOS EN GRASA,Pechuga sin pile molida,30,g,30,30,34,7.0,0.5,0.0,17.4,2.4,3.6,0.2,20.4,5.3
A.O.A MUY BAJOS EN GRASA,Perca cocida ,30,g,30,30,35,7.4,0.4,0.0,34.6,3.0,30.7,0.3,23.6,4.8
A.O.A MUY BAJOS EN GRASA,Perca cruda,75,g,38,38,35,7.4,0.4,0.0,34.4,3.6,30.6,0.3,23.9,4.8
A.O.A MUY BAJOS EN GRASA,Perca fileteada,38,g,38,38,34,7.4,0.4,0.0,34.2,3.6,30.4,0.3,23.7,4.8
A.O.A MUY BAJOS EN GRASA,Pescado blanco ahumado,32,g,32,32,35,7.5,0.3,0.0,10.5,18.2,5.6,0.2,326.1,4.3
A.O.A MUY BAJOS EN GRASA,Pescado en trozo,75,g,75,39,35,7.3,0.5,0.0,18.7,3.9,6.9,0.1,31.6,12.8
A.O.A MUY BAJOS EN GRASA,Pescado entero,75,g,75,39,35,7.3,0.5,0.0,18.7,3.9,6.9,0.1,31.6,12.8
A.O.A MUY BAJOS EN GRASA,Pescado fileteado,40,g,40,40,36,7.5,0.5,0.0,19.2,4.0,7.1,0.1,32.4,13.1
A.O.A MUY BAJOS EN GRASA,Pescado rebenado,75,g,75,39,35,7.3,0.5,0.0,18.7,3.9,6.9,0.1,31.6,12.8
A.O.A MUY BAJOS EN GRASA,Pescado seco tipo bacalao,13,g,13,12,34,7.4,0.3,0.0,17.8,5.0,18.7,0.3,822.2,17.3
A.O.A MUY BAJOS EN GRASA,Pez espada cocido,28,g,28,28,43,7.1,1.4,0.0,14.0,11.5,1.6,0.3,32.3,17.3
A.O.A MUY BAJOS EN GRASA,Pez espada crudo,55,g,55,36,43,7.1,1.4,0.0,13.9,13.0,1.3,0.3,32.2,17.2
A.O.A MUY BAJOS EN GRASA,Pez espada crudo fileteado,38,g,38,36,44,7.1,1.4,0.0,14.0,13.2,1.3,0.3,32.5,17.4
A.O.A MUY BAJOS EN GRASA,Pez espada crudo rebanado,55,g,55,36,43,7.1,1.4,0.0,13.9,13.0,1.3,0.3,32.2,17.2
A.O.A MUY BAJOS EN GRASA,Pollo crudo sin piel,40,g,40,26,48,4.6,3.1,0.0,21.2,10.5,2.8,0.2,17.9,6.0
A.O.A MUY BAJOS EN GRASA,Pollo crudo sin piel en piezas,40,g,40,26,49,4.7,3.2,0.0,21.6,9.4,2.6,0.3,20.5,6.1
A.O.A MUY BAJOS EN GRASA,Pollo deshebrado,1/4,taza,38,38,43,8.7,0.6,0.0,21.8,30.0,4.5,0.3,25.5,2.1
A.O.A MUY BAJOS EN GRASA,Pollo sin piel cocido,30,g,30,30,48,8.7,1.2,0.0,23.1,2.4,3.9,0.3,19.5,6.7
A.O.A MUY BAJOS EN GRASA,Proteina aislada de soya,10,g,10,10,34,8.1,0.3,0.7,1.6,28.0,17.8,1.5,100.5,0.1
A.O.A MUY BAJOS EN GRASA,Proteina concentrda de soya,10,g,10,10,33,5.8,0.0,3.1,0.0,0.0,36.3,1.1,0.3,0.1
A.O.A MUY BAJOS EN GRASA,Pulmón de cerdo,55,g,55,48,41,6.7,1.3,0.0,153.1,0.0,3.3,9.0,73.2,8.5
A.O.A MUY BAJOS EN GRASA,Pulpa de jaiba,1/3,taza,46,46,38,8.0,0.6,0.0,36.0,300.8,19.9,0.4,18.9,6.5
