GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Colesterol (mg),Vitamina A     (µg RE),Calcio (mg),Hierro (mg),Sodio (mg),Selenio (mg)
A.O.A MUY BAJOS EN GRASA,Corazón de  puerco crudo,35,g,35,35,41,6.0,1.5,0.5,45.9,2.8,1.8,1.6,19.6,3.6
A.O.A MUY BAJOS EN GRASA,Corazón de  res cocido,25,g,25,25,41,7.1,1.2,0.0,53.0,0.0,1.3,1.6,14.8,9.7
A.O.A MUY BAJOS EN GRASA,Corazón de res crudo,38,g,38,38,43,6.7,1.5,0.1,47.1,0.0,2.7,1.6,37.2,8.3
A.O.A MUY BAJOS EN GRASA,Corazón de ternera cocido,20,g,20,20,37,5.8,1.4,0.0,35.2,0.0,1.6,0.9,11.6,10.5
A.O.A MUY BAJOS EN GRASA,Corazón de ternera crudo,40,g,40,40,44,6.9,1.6,0.0,41.6,0.0,2.0,1.7,30.8,13.3
A.O.A MUY BAJOS EN GRASA,Cuete,45,g,45,43,41,7.3,1.3,1.3,20.1,55.6,3.8,0.8,25.7,12.2
A.O.A MUY BAJOS EN GRASA,Cuete de res,45,g,45,43,41,7.3,1.3,1.3,20.1,55.6,3.8,0.8,25.7,12.2
A.O.A MUY BAJOS EN GRASA,Empuje,33,g,33,33,37,7.4,0.6,0.0,15.5,45.9,3.0,0.6,19.8,6.2
A.O.A MUY BAJOS EN GRASA,Empuje de res,33,g,33,33,37,7.4,0.6,0.0,15.5,45.9,3.0,0.6,19.8,6.2
A.O.A MUY BAJOS EN GRASA,Escalopa de res,30,g,30,30,34,7.2,0.3,0.0,14.1,83.4,2.7,0.5,18.0,5.7
A.O.A MUY BAJOS EN GRASA,Escamoles,18,g,18,18,32,8.1,0.0,0.0,0.0,0.0,ND,0.0,0.0,0.0
A.O.A MUY BAJOS EN GRASA,Extraviado,80,g,80,41,34,7.9,0.3,0.0,ND,20.4,2.9,ND,ND,5.7
A.O.A MUY BAJOS EN GRASA,Extraviado fileteado,41,g,41,41,34,7.9,0.3,0.0,ND,20.5,2.9,ND,ND,5.7
A.O.A MUY BAJOS EN GRASA,Fajitas de pollo sin piel cruda,30,g,30,30,36,6.2,1.0,0.0,23.1,5.1,3.3,0.3,26.4,4.1
A.O.A MUY BAJOS EN GRASA,Falda,35,g,35,33,35,7.4,0.6,0.0,15.6,46.2,3.0,0.6,20.0,6.0
A.O.A MUY BAJOS EN GRASA,Falda abierta,35,g,35,33,35,7.4,0.6,0.0,15.6,46.2,3.0,0.6,20.0,6.0
A.O.A MUY BAJOS EN GRASA,Falda de res,35,g,35,33,35,7.4,0.6,0.0,15.6,46.2,3.0,0.6,20.0,6.0
A.O.A MUY BAJOS EN GRASA,Filete de bandera crudo,40,g,40,40,36,7.5,0.5,0.0,19.2,4.0,7.1,0.1,32.4,13.1
A.O.A MUY BAJOS EN GRASA,Filete de calamar crudo,45,g,45,45,41,7.0,0.6,1.4,104.8,4.5,14.3,0.3,19.6,20.2
A.O.A MUY BAJOS EN GRASA,Filete de cazón crudo,30,g,30,30,39,6.3,1.3,0.0,15.2,21.2,10.2,0.3,23.6,4.2
A.O.A MUY BAJOS EN GRASA,Filete de extraviado,40,g,40,40,34,7.7,0.3,0.0,ND,20.0,2.8,ND,ND,5.6
A.O.A MUY BAJOS EN GRASA,Filete de guachinando! pargo,35,g,35,35,35,7.2,0.5,0.0,13.0,10.5,11.1,0.1,22.2,13.4
A.O.A MUY BAJOS EN GRASA,Filete de guachinando! pargo,35,g,35,35,35,7.2,0.5,0.0,13.0,10.5,11.1,0.1,22.2,13.4
A.O.A MUY BAJOS EN GRASA,Filete de lenguado,45,g,35,35,35,7.5,0.5,0.0,20.7,4.5,5.4,0.4,35.1,6.3
