GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Fibra (g),Vitamina A     (µg RE),Acido Ascórbico   (mg),Acido Fólico (µg),Hierro NO HEM (mg),Potasio (mg),Azúcar por equivalente (g),indice glicémuco,Carga glicémica
FRUTAS,Pulpa de mamey,6,cucharada,75,75,52,1.3,0.5,12.2,3.4,45.8,17.3,0.0,1.8,0.0,0.0,ND,ND
FRUTAS,Pulpa de tamarindo,8,cucharada,100,100,57,0.1,0.1,14.7,0.5,0.0,0.0,0.0,0.0,0.0,12.7,ND,ND
FRUTAS,Pulpa de zapote negro,1/2,taza,105,105,59,0.8,0.1,15.2,1.3,10.5,87.2,0.0,1.7,0.0,0.0,ND,ND
FRUTAS,Puré de ciruela pasa,3,cucharada,41,41,51,0.5,0.1,13.6,0.2,12.0,0.8,0.0,0.4,128.7,0.0,ND,ND
FRUTAS,Puré de guayaba,1/2,frasco,65,65,49,0.1,0.1,12.0,1.7,0.0,67.0,0.0,0.1,97.5,0.0,ND,ND
FRUTAS,Puré de guayaba gerber 2A etapa,1/2,frasco,65,65,49,0.1,0.1,12.0,1.7,0.0,67.0,0.0,0.1,97.5,0.0,ND,ND
FRUTAS,Puré de manzana,6,cucharada,83,83,63,0.1,0.1,16.4,1.0,0.0,1.3,0.0,0.0,60.4,13.6,ND,ND
FRUTAS,Puré de manzana sin azúcar,1/2,taza,122,122,52,0.2,0.1,13.8,1.5,4.0,1.0,1.0,0.2,92.0,0.0,ND,ND
FRUTAS,Puré de platano,1/4,taza,56,56,50,0.6,0.2,12.8,1.5,34.9,7.3,12.4,0.4,208.1,6.9,ND,ND
FRUTAS,Rambután,7,pieza,175,88,55,0.6,0.3,15.0,0.9,8.6,3.8,3.8,0.3,167.4,14.4,ND,ND
FRUTAS,Rambután en almibar,1/4,taza,54,54,44,0.4,0.1,11.2,0.5,0.0,2.5,4.3,0.2,22.5,0.0,33.0,3.7
FRUTAS,Rollo de frutas,1,pieza,21,21,78,0.0,0.6,18.0,0.0,3.0,1.0,2.0,0.2,62.0,10.3,ND,ND
FRUTAS,Salsa de arandanos en gelatina enlatada,1/2,rebanada,29,29,43,0.1,0.1,11.1,0.3,0.5,0.5,0.3,0.1,7.5,10.8,ND,ND
FRUTAS,Sandia picada,1,taza,160,160,48,1.0,0.2,12.1,0.6,59.0,15.0,4.0,0.3,186.0,9.9,72.0,8.7
FRUTAS,Sandia rebanada,1,rebanada,200,200,60,1.3,0.3,15.1,0.8,73.8,18.8,5.0,0.3,232.5,12.4,ND,ND
FRUTAS,Saramuyo,130,g,130,85,63,1.8,0.8,13.8,0.0,7.6,27.0,0.0,0.0,0.0,0.0,ND,ND
FRUTAS,Semilla de jinicuil,200,g,200,40,58,4.8,0.4,10.8,0.4,8.0,11.2,0.0,0.8,0.0,0.0,ND,ND
FRUTAS,Tamarindo,50,g,50,25,60,0.7,0.1,15.6,1.3,0.8,0.8,3.5,0.7,157.1,14.4,ND,ND
FRUTAS,Tamarindo (pulpa sin azúcar),8,cucharada,100,100,57,0.1,0.1,14.7,0.5,0.0,0.0,0.0,0.0,0.0,12.7,ND,ND
FRUTAS,Tamarindo pelado,1/4,taza,30,30,72,0.9,0.2,18.8,1.5,1.0,1.0,4.3,0.8,188.5,17.2,ND,ND
FRUTAS,Tangerina,2,pieza,180,128,56,0.6,0.3,15.3,0.4,138.0,92.0,10.2,0.4,227.5,0.0,ND,ND
FRUTAS,Tejocote,2,pieza,70,60,52,0.5,0.4,13.1,1.6,251.1,27.4,0.0,1.0,0.0,0.0,ND,ND
FRUTAS,Toronja,1,pieza,246,162,54,0.9,0.2,13.7,1.8,4.9,86.1,16.2,0.2,225.7,11.9,25.0,3.4
FRUTAS,Toronja en gajos,1,taza,150,150,50,0.8,0.2,12.6,1.7,18.3,51.2,15.9,0.1,208.5,11.0,ND,ND
FRUTAS,Toronja enlatada con jugo,1/2,taza,125,125,46,0.9,0.1,11.5,0.5,0.0,42.0,11.2,0.3,213.5,11.0,ND,ND
