GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Fibra (g),Vitamina A     (µg RE),Acido Ascórbico   (mg),Acido Fólico (µg),Hierro NO HEM (mg),Potasio (mg),Azúcar por equivalente (g),indice glicémuco,Carga glicémica
FRUTAS,Mamey,1/3,pieza,137,85,58,1.4,0.5,13.7,3.8,51.7,19.5,0.0,2.0,0.0,0.0,ND,ND
FRUTAS,Mandarina,2,pieza,180,128,68,1.0,0.4,17.0,2.3,138.0,92.0,10.2,0.4,227.5,13.5,ND,ND
FRUTAS,Mandarina reyna,1,pieza,200,142,75,1.2,0.4,18.9,2.6,153.4,102.2,11.4,0.4,252.8,15.0,ND,ND
FRUTAS,Mango ataúlfo,1/2,pieza,95,62,40,0.3,0.2,10.5,1.1,84.6,17.3,0.0,0.1,96.3,0.0,ND,ND
FRUTAS,Mango criollo,1 1/2,pieza,300,162,57,1.3,0.0,14.6,1.8,388.8,129.6,0.0,2.1,306.2,0.0,ND,ND
FRUTAS,Mango en almibar enlatado,1,pieza,61,61,56,0.3,0.1,15.0,0.1,31.7,19.5,0.0,0.5,0.0,0.0,ND,ND
FRUTAS,mango manila,1,pieza,207,145,62,1.2,0.0,16.1,1.6,486.9,110.1,0.0,1.2,273.9,0.0,20.0,3.5
FRUTAS,Mango petacón,1/2,pieza,200,110,72,0.6,0.3,12.9,1.2,150.7,38.8,0.0,0.1,171.6,0.0,ND,ND
FRUTAS,Mango picado,1,taza,165,165,58,1.3,0.0,14.9,1.8,226.1,46.2,0.0,0.2,257.4,0.0,ND,ND
FRUTAS,Mangosteno enlatado en jarabe,1/2,taza,98,98,72,0.4,0.6,17.6,1.8,2.0,3.0,30.4,0.3,47.0,0.0,ND,ND
FRUTAS,Manzana,1,pieza,138,106,55,0.3,0.2,14.7,2.6,5.4,6.2,3.1,0.2,122.4,11.0,38.0,5.6
FRUTAS,Manzana al vapor,1/2,taza,86,86,44,0.2,0.1,11.7,2.1,3.5,0.0,0.5,0.2,75.0,8.9,ND,ND
FRUTAS,Manzana amarilla,1,pieza,130,100,65,0.3,0.3,16.5,2.1,10.0,11.0,0.4,0.7,113.1,10.4,ND,ND
FRUTAS,Manzana cocida,1/2,taza,86,86,44,.2.,0.1,11.7,2.1,3.5,0.0,0.5,0.2,75.0,8.9,ND,ND
FRUTAS,Manzana deshidratada,9,orejon,23,23,55,0.2,0.1,15.0,2.0,0.0,0.7,0.0,0.3,102.4,13.0,ND,ND
FRUTAS,Manzana en almibar,1,pieza,24,24,54,0.0,0.0,15.7,2.1,1.2,0.5,0.1,0.0,16.2,13.6,ND,ND
FRUTAS,Manzana en almibar enlatada,1,pieza,24,24,54,0.0,0.0,15.7,2.1,1.2,0.5,0.1,0.0,16.2,13.6,ND,ND
FRUTAS,Manzana golden,1,pieza,130,100,65,0.3,0.3,16.5,2.1,10,11,0.4,0.7,113.1,13.5,ND,ND
FRUTAS,Manzana granny,1/2,pieza,93,71,42,0.2,0.3,10.8,1.9,3.6,4.1,2.1,0.1,82.1,9.5,ND,ND
FRUTAS,Manzana picada,1/2,taza,75,75,44,0.2,0.3,11.4,2.0,3.8,4.3,2.2,0.1,86.4,10,ND,ND
FRUTAS,Manzana roja,1,pieza,185,142,84,0.3,0.5,21.7,3.8,7.2,8.3,4.1,0.3,164.1,19.0,ND,ND
FRUTAS,Manzana sin cascara,1,pieza,128,128,73,0.2,0.4,19.0,1.7,5.0,5.0,1.0,0.1,145.0,12.9,ND,ND
FRUTAS,Manzana verde,1/2,pieza,93,71,42,0.2,0.3,10.8,1.9,3.6,4.1,2.1,0.1,82.1,9.5,ND,ND
FRUTAS,Manzana Washington,1/2,pieza,93,71,42,0.2,0.3,10.8,1.9,3.6,4.1,2.1,0.1,82.1,9.5,ND,ND
FRUTAS,Maracuyá,3,pieza,150,53,51,1.2,0.4,12.3,5.5,37.9,14.6,8.8,0.8,183.8,5.9,ND,ND
FRUTAS,Maracuyá  rebanado,1/2,taza,69,69,66,1.5,0.5,16.0,7.1,49.5,19.0,11.4,1.1,239.8,7.7,ND,ND
FRUTAS,Marañon fresco,190,g,190,171,62,1.5,0.5,14.4,4.6,136.8,285.6,0.0,4.1,0.0,0.0,ND,ND
FRUTAS,Melón,1/3,pieza,271,179,61,1.5,0.3,14.6,1.6,225.6,64.5,30.4,0.4,553.4,14.1,65.0,9.5
FRUTAS,Melón cantaloupe,1/3,pieza,271,179,61,1.5,0.3,14.6,1.6,225.6,64.5,30.4,0.4,553.4,14.1,ND,ND
FRUTAS,Melón chico,1/4,pieza,219,144,52,0.8,0.2,13.1,1.2,181.9,52.0,24.5,0.3,446.1,11.7,ND,ND
FRUTAS,Melón picado,1,taza,160,160,54,1.3,0.3,13.1,1.4,201.6,57.6,27.2,0.3,494.4,12.6,ND,ND
FRUTAS,Melón valenciano,1/3,pieza,271,179,61,1.5,0.3,14.6,1.6,5.4,75.2,30.4,0.4,553.4,14.1,ND,ND
FRUTAS,Melón valenciano picado,1,taza,160,160,54,1.3,0.3,13.1,1.4,4.8,67.2,27.2,0.3,494.4,12.6,ND,ND
FRUTAS,Melón verde picado,1,taza,160,160,58,0.9,0.2,14.5,1.3,515.0,68.0,27.0,0.3,494.0,13.0,ND,ND
FRUTAS,Membrillo,1,pieza,163,98,56,0.4,0.1,15.0,1.7,3.9,14.7,0.0,0.7,192.7,0.0,ND,ND
FRUTAS,Moras,3/4,taza,108,108,67,2.2,0.6,14.9,8.2,42.1,22.7,27.0,0.7,175.0,7.6,ND,ND
FRUTAS,Nanche agrio,45,pieza,225,122,66,1.3,1.6,13.9,2.4,4.9,86.3,0.0,1.2,0.0,0.0,ND,ND
FRUTAS,Naranja,2,pieza,242,152,72,1.4,0.2,18.0,3.7,18.3,80.8,45.7,0.2,276.0,14.3,42.0,7.6
FRUTAS,Naranja agria,2,pieza,200,126,73,1.9,0.8,14.9,3.0,12.6,39.1,0.0,1.0,252.0,11.8,ND,ND
FRUTAS,Naranja cajera,2,pieza,220,139,69,1.4,1.0,16.4,3.3,15.2,70.7,0.0,3.5,277.2,13.0,ND,ND
FRUTAS,Naranja chica,4,pieza,140,129,48,2.1,0.4,15.2,3.1,36.1,56.7,0.0,1.2,0.0,12.0,ND,ND
FRUTAS,Naranja sin semilla,1,pieza,201,155,72,1.1,0.6,18.3,3.7,0.0,0.0,0.0,0.0,0.0,14.5,ND,ND
FRUTAS,Naranja valenciana,2,pieza,242,162,79,1.7,0.5,19.1,3.9,37.5,79.1,63,0.1,290.8,15.2,ND,ND
FRUTAS,Naranja concentrada,1/2,taza,130,130,57,1,0.2,13.2,0.3,0,0,0,0,7.6,0,ND,ND
FRUTAS,Nectarina,1,pieza,136,124,54,1.3,0.4,13.1,2.1,91.9,6.4,4.6,0.2,262.1,9.8,ND,ND
FRUTAS,Nispero,25,pieza,350,140,59,0.1,1.2,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ND,ND
FRUTAS,Níspero del japón,2,pieza,180,108,52,0.4,0.2,13.4,1.3,56.2,1.1,8.6,0.3,287.3,0.0,ND,ND
FRUTAS,Orejones de chabacano,7,pieza,25,25,59,0.8,0.1,15.3,1.8,177.1,0.7,2.8,1.2,337.4,13.1,30.0,4.6
FRUTAS,Orejones de durazno,2,pieza,26,26,62,0.9,0.2,15.9,2.1,56.2,1.2,0.0,1.1,259.0,10.9,ND,ND
FRUTAS,Orejones de manzana,9,pieza,23,23,55,0.2,0.1,14.8,2.0,0.0,0.7,0.0,0.3,101.3,12.9,29.0,4.3
FRUTAS,Orejones de pera,1,pieza,18,18,47,0.3,0.1,12.5,1.3,0.0,1.2,0.0,0.4,96.0,11.2,ND,ND
FRUTAS,Papaya hawaiana,1/2,pieza pequeña,152,114,45,0.7,0.2,11.2,2.1,23.9,70.5,43.3,0.1,292.9,0.0,ND,ND
FRUTAS,Papaya picada,1,taza,140,140,55,0.8,0.1,13.7,2.5,29.4,86.5,53.2,0.1,359.8,0.0,59.0,8.1
FRUTAS,Papilla de chabacano con tapioca,3/4,frasco,98,98,61,0.3,0.0,16.9,1.5,70.2,2.0,1.5,0.3,118.0,1.4,ND,ND
FRUTAS,Papilla de ciruela con tapioca,3/4,frasco,98,98,68,0.6,0.1,18.2,2.6,43.9,1.0,0.2,0.4,172.6,10.7,ND,ND
FRUTAS,Papilla de durazno,3/4,frasco,98,98,63,0.9,0.3,14.1,1.3,15.6,2.9,3.8,0.2,158.0,11.2,ND,ND
FRUTAS,Papilla de frutas mixtas,3/4,frasco,98,98,59,0.2,0.0,16.0,ND,0.0,30.2,0.0,0.2,81.9,0.0,ND,ND
FRUTAS,Papilla de guayaba y papaya con tapioca,3/4,frasco,98,98,61,0.2,0.1,16.6,ND,0.0,100.6,0.0,0.1,146.3,0.0,ND,ND
FRUTAS,Papilla de mango con tapioca,2/3,frasco,85,85,59,0.3,0.2,16.1,0.9,56.6,1.7,0.0,0.1,49.9,11.0,ND,ND
FRUTAS,Papilla de manzana,2/3,frasco,85,85,61,0.3,0.0,16.6,ND,1.7,0.0,0.3,0.2,42.3,0.0,ND,ND
FRUTAS,Papilla de manzana y chabacano,1,frasco,130,130,61,0.3,0.3,16.1,2.3,50.7,2.0,1.7,0.1,156.0,11.3,ND,ND
FRUTAS,Papilla de pera,3/4,frasco,98,98,56,0.3,0.1,13.3,1.2,2.9,2.0,3.5,0.2,126.8,8.4,ND,ND
