GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Colesterol (mg),Vitamina A     (µg RE),Calcio (mg),Sodio (mg),Azúcar por equivalente (g)
LECHE CON AZUCAR,Leche semidescremada sabor chocolate,1,pieza,240,240,182,7.2,4.6,29.1,19.2,153.6,261.6,158.4,22.9
LECHE CON AZUCAR,Malteada de chocolate,2/3,taza,156,156,198,5.3,5.8,32.0,20.0,39,176.3,151.3,29.0
LECHE CON AZUCAR,Malteada de fresa,3/4,pieza,180,180,203,6.1,5.0,34,198.8,46.8,203.4,149.4,33.3
LECHE CON AZUCAR,Malteada de vainilla,1/2,pieza,130,130,192,4.4,8.4,25.4,29.8,117.9,149.0,105.0,17.7
LECHE CON AZUCAR,Nescafé Dolce Gusto late macchiato (1 cápsula de leche + 1 cápsula de cocoa,2,cápsula,50,50,182,8.6,8.4,18.2,25.5,ND,ND,128.0,18.0
LECHE CON AZUCAR,Nescafé Dolce Gusto caramel latte macchiato (1 cápsula de leche + 1 cápsula de cocoa,2,cápsula,42,42,157,5.2,6.2,20.1,ND,ND,ND,57.5,18.1
LECHE CON AZUCAR,Nescafé Dolce Gusto Chococino (1 cápsula de leche + 1 cápsula de cocoa,1 1/2,cápsula,51,51,223,7.4,8.2,29.9,22.4,ND,ND,92.8,28.5
LECHE CON AZUCAR,PLF* con Lactobacillus casei Shirota,3,envase,240,240,165,3.0,0.1,38.1,ND,ND,108.0,39.0,38.1
LECHE CON AZUCAR,Queso petit Suisse,1 1/4,pieza,255,255,203,9.0,3.4,36,22.5,69.8,270.0,0.0,29.3
LECHE CON AZUCAR,Yoghur Activia de Ciruela Pasa,1 1/3,vasito,200,200,206,6.2,6.4,30.9,ND,ND,203.0,94.7,30.7
LECHE CON AZUCAR,Yoghur bebible sabor durazno,2,pieza,330,330,224,7.9,2.3,40.9,ND,ND,290.4,99.5,40.6
LECHE CON AZUCAR,Yoghur bebible sabor  fresa,2,pieza,330,330,224,7.9,2.3,40.9,ND,ND,290.4,0.1,40.6
LECHE CON AZUCAR,Yoghur bebible sabor piña colada,2,pieza,330,330,224,7.9,2.3,40.9,ND,ND,290.4,99.5,40.6
LECHE CON AZUCAR,Yoghur de café,3/4,taza,180,180,180,8.5,2.1,32.8,10.6,ND,211.8,95.3,29.6
LECHE CON AZUCAR,Yoghur de fruta,3/4,taza,180,180,201,8.5,3.2,33.9,15.9,ND,211.8,105.9,31.8
LECHE CON AZUCAR,Yoghur de vainilla,3/4,taza,180,180,201,8.5,3.2,33.9,15.9,ND,211.8,100.6,30.7
LECHE CON AZUCAR,Yoghur Lala batido,1 1/2,pieza,188,188,182,6.2,4.4,30.0,ND,ND,196.9,159.4,ND
LECHE CON AZUCAR,Yoghur Lala bebible frutas,1,pieza,250,250,195,5.5,4.0,20.0,ND,ND,ND,0.0,ND
LECHE CON AZUCAR,Yoghur Lala Vive con fibra,1 1/2,vasito,255,255,210,8.9,6.3,33.2,ND,ND,254.3,121.5,ND
LECHE CON AZUCAR,Yoghur Lala Vive deslactosada,1,pieza,250,250,195,5.5,4.0,34.5,ND,ND,192.5,95.0,ND
LECHE CON AZUCAR,Yoghur Lala Vive sin colesterol con Menoscol,1,pieza,250,250,185,6.8,1.0,37.3,ND,ND,225.0,75.0,ND
LECHE CON AZUCAR,Yoghur para beber sabor fresa,1 1/4,pieza,313,313,216,5.9,5.0,37.5,ND,ND,221.9,81.3,ND
LECHE CON AZUCAR,Yoghur de soya,1,taza,180,180,169,6.3,3.2,28.7,ND,ND,ND,462.6,ND
