GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Colesterol (mg),Vitamina A     (µg RE),Calcio (mg),Hierro (mg),Sodio (mg),Selenio (mg)
A.O.A.BAJO EN GRASA,Carne de pato de crianza,60,g,60,39,51,7.1,2.3,0.0,30,9.4,4.3,0.9,28.9,5.4
A.O.A.BAJO EN GRASA,Carne de res (promedio),30,g,30,30,54,6.2,3,0.0,19.5,1.8,3.6,0.9,19.5,5.9
A.O.A.BAJO EN GRASA,Carne de ternera,35,g,35,35,55,6.9,2.8,0.0,31.5,0.0,3.9,1.1,31.5,5.5
A.O.A.BAJO EN GRASA,Carne molida de cerdo,40,g,40,40,56,7.9,2.5,0.0,26.0,0.4,2.4,0.5,32.8,9.8
A.O.A.BAJO EN GRASA,Carne promedio,30,g,30,29,51,5.9,2.9,0.0,18.5,1.7,3.4,0.9,18.5,5.7
A.O.A.BAJO EN GRASA,Carnero,50,g,50,40,54,7.6,2.4,0.0,26.0,0.0,2.8,0.9,30.0,15.2
A.O.A.BAJO EN GRASA,Carnero con hueso,65,g,65,38,51,7.2,2.3,0.0,24.5,0.0,2.6,0.8,28.3,14.3
A.O.A.BAJO EN GRASA,Carpa,75,g,75,41,51,7.2,2.3,0.0,26.7,3.8,16.7,0.5,20.0,5.7
A.O.A.BAJO EN GRASA,Carpa cocida,30,g,30,30,49,6.8,2.2,0.0,25.1,2.8,15.5,0.5,19.1,5.4
A.O.A.BAJO EN GRASA,Carpa horneada,30,g,30,30,49,6.8,2.2,0.0,25.1,2.8,15.5,0.5,19.1,5.4
A.O.A.BAJO EN GRASA,Chuleta de cerdo,1/2,pieza,45,38,54,7.6,2.4,0.0,24.9,0.4,2.3,0.5,31.4,12.2
A.O.A.BAJO EN GRASA,Conejo,40,g,40,32,51,6.5,2.6,0.0,20.8,0.0,5.8,0.8,13.8,7.6
A.O.A.BAJO EN GRASA,Conejo de crianza,40,g,40,32,51,6.5,2.6,0.0,20.8,0.0,5.8,0.8,13.8,7.6
A.O.A.BAJO EN GRASA,Corazón de borrego,45,g,45,45,55,7.4,2.5,0.2,60.0,0.0,0.0,0.0,39.5,21.2
A.O.A.BAJO EN GRASA,Corazón de borrego cocido,30,g,30,30,55,7.4,2.4,0.6,74.2,0.0,0.0,0.0,18.7,14.1
A.O.A.BAJO EN GRASA,Corazón de cordero,45,g,45,45,55,7.4,2.5,0.2,60.0,0.0,0.0,0.0,39.5,14.4
A.O.A.BAJO EN GRASA,Corazón de cordero cocido,30,g,30,30,55,7.4,2.4,0.6,74.2,0.0,0.0,0.0,18.7,14.1
A.O.A.BAJO EN GRASA,Corazón de pavo,40,g,40,40,58,7.3,2.8,0.3,46.3,0.0,0.0,0.0,35.1,2.0
A.O.A.BAJO EN GRASA,Corazón de pollo cocido,25,g,25,25,53,7.9,2.6,0.0,70.2,0.0,0.0,0.0,17.5,2.0
A.O.A.BAJO EN GRASA,Corned beef,25,g,25,25,54,6.7,3.1,0.0,22.3,0.0,0.0,0.6,218.8,4.3
A.O.A.BAJO EN GRASA,Corned beef con áspic,30,g,30,30,46,6.9,1.8,0.0,13.9,0.0,3.2,0.6,286.1,5.2
A.O.A.BAJO EN GRASA,Cuete de ternera,35,g,35,35,55,6.9,2.8,0.0,31.5,0.0,3.9,1.1,31.5,5.5
A.O.A.BAJO EN GRASA,Falda de cerdo,40,g,40,40,56,7.9,2.5,0.0,26.0,0.4,2.4,0.5,32.8,11.4
A.O.A.BAJO EN GRASA,Filete de carpa,40,g,40,40,51,7.2,2.3,0.0,26.4,3.8,16.5,0.5,19.8,5.6
A.O.A.BAJO EN GRASA,Filete de cerdo,40,g,40,40,56,7.9,2.5,0.0,26.0,0.4,2.4,0.5,32.8,11.4
A.O.A.BAJO EN GRASA,Filete de puerco,40,g,40,40,56,7.9,2.5,0.0,26.0,0.4,2.4,0.5,32.8,11.4
A.O.A.BAJO EN GRASA,Filete de salmón,30,g,30,30,55,6.0,3.2,0.0,17.6,4.6,3.5,0.1,17.6,13.4
A.O.A.BAJO EN GRASA,Gallina,40,g,40,27,59,7.6,0,0.0,21.2,5.4,7.1,0.5,17.4,3.4
A.O.A.BAJO EN GRASA,Gallina joven cocida,40,g,40,27,59,7.6,0,0.0,21.2,5.4,7.1,0.5,17.4,4.9
A.O.A.BAJO EN GRASA,Ganso de crianza,40,g,40,32,52,7.4,2.3,0.0,27.2,3.9,4.2,0.8,28.2,5.4
A.O.A.BAJO EN GRASA,Guajolote,45,g,45,36,57,7.3,2.8,0.0,26.0,0.7,5.3,0.5,23.1,8.2
A.O.A.BAJO EN GRASA,Hígado de ganzo crudo,40,g,40,40,53,6.5,1.7,2.5,206.0,3723.6,17.2,12.2,56.0,27.2
A.O.A.BAJO EN GRASA,Hígado de borrego crudo,25,g,25,25,55,7.6,2.2,0.6,125.3,1872.8,2.0,2.1,14.0,27.9
A.O.A.BAJO EN GRASA,Hígado de cerdo cocido,30,g,30,30,50,7.8,1.3,1.1,106.5,1621.5,3.0,5.4,14.7,20.3
A.O.A.BAJO EN GRASA,Hígado de ganzo ,1/2,pieza,47,47,63,7.7,2.0,3.0,242.1,4375.2,20.2,14.3,65.8,32.0
A.O.A.BAJO EN GRASA,Hígado de pato crudo,40,g,40,40,54,7.5,1.8,1.4,206.0,4793.6,4.4,12.2,56.0,26.8
A.O.A.BAJO EN GRASA,Hígado de pavo,4,cucharada,35,35,59,8.4,2.1,1.2,219.1,4403.4,3.9,2.7,22.4,35.2
A.O.A.BAJO EN GRASA,Hígado de pollo cocido,30,g,30,30,50,7.3,2.0,0.3,168.9,1194.3,3.3,3.5,22.8,24.7
A.O.A.BAJO EN GRASA,Hígado de pollo crudo,40,g,40,40,48,7.2,1.6,1.4,120.0,1452.0,4.4,3.4,31.6,25.60
A.O.A.BAJO EN GRASA,Hígado de res cocido,30,g,30,30,48,7.3,1.5,1.0,116.7,3180.6,2.1,2.0,21.0,17.10
