GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Colesterol (mg),Vitamina A     (µg RE),Calcio (mg),Hierro (mg),Sodio (mg),Selenio (µg)
A.O.A.ALTO EN GRASA,Queso neufchatel,35,g,35,35,91,3.5,8.2,1.0,26.6,101.2,26.3,0.1,139.7,0.1
A.O.A.ALTO EN GRASA,Queso Oaxaca,30,g,30,30,95,7.7,6.6,0.9,25.8,0.8,140.7,1.0,0.0,1.1
A.O.A.ALTO EN GRASA,Queso pasteurizado americano,1,rebanada,28,28,105,6.2,8.7,0.4,26.3,69.2,172.5,0.1,400.4,0.9
A.O.A.ALTO EN GRASA,Queso pasteurizado suizo,1 1/2,rebanada,32,32,105,7.8,7.9,0.7,26.8,60.5,243.2,0.2,431.6,1.1
A.O.A.ALTO EN GRASA,Queso port salut,1,rebanada,28,28,99,6.7,7.9,0.2,34.4,87.6,182.0,0.1,149.5,1.0
A.O.A.ALTO EN GRASA,Queso provolone,1,rebanada,28,28,98,7.2,7.5,0.6,19.3,64.4,211.7,0.1,245.3,1.0
A.O.A.ALTO EN GRASA,Queso ricotta,1/4,taza,62,62,107,6.9,8.0,1.9,31.2,72.0,127.5,0.2,51.6,1.0
A.O.A.ALTO EN GRASA,Queso romeno,23,g,23,23,89,7.3,6.2,0.8,23.8,20.7,244.7,0.2,276,3.3
A.O.A.ALTO EN GRASA,Queso roquefort,25,g,25,25,92,5.4,7.7,0.5,22.5,72.5,165.5,0.1,452.3,0.8
A.O.A.ALTO EN GRASA,Queso suizo,1,rebanada,28,28,106,7.5,7.8,1.5,26.0,59.9,221.5,0.1,53.8,1.4
A.O.A.ALTO EN GRASA,Queso suizo rallado,6,cucharada,43,43,95,7.4,6.3,2.3,32.4,27.7,297.2,0.0,0.0,1.1
A.O.A.ALTO EN GRASA,Queso tipo americano,1 1/2,rebanada,27,27,101,6.0,8.5,0.4,25.1,68.5,149.5,0.0,402.1,0.0
A.O.A.ALTO EN GRASA,Queso tipo roquefort,25,g,25,25,92,5.4,7.7,0.5,22.5,72.5,165.5,0.1,452.3,0.8
A.O.A.ALTO EN GRASA,Queso velveta,35,g,35,35,100,6.3,7.5,3.8,25.0,0.0,187.5,0.0,525.0,0.9
A.O.A.ALTO EN GRASA,Retazo,350,g,350,35,104,5.6,8.9,0.0,25.9,4.2,2.8,0.6,20.7,1.1
A.O.A.ALTO EN GRASA,Retazo con hueso,350,g,350,35,104,5.6,8.9,0.0,25.9,4.2,2.8,0.6,20.7,1.1
A.O.A.ALTO EN GRASA,Retazo de pollo,350,g,350,35,104,5.6,8.9,0.0,25.9,4.2,2.8,0.6,20.7,0.7
A.O.A.ALTO EN GRASA,Retazo de res,350,g,350,35,104,5.6,8.9,0.0,25.9,4.2,2.8,0.6,20.7,1.1
