GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),AG Saturados (g),AG Monoinsaturados (g),AG Poliinsatuirados (g),Colesterol (mg),Sodio (mg)
ACEITES Y GRASAS,Aderezo francés,1/2,cucharada,8,8,32,0.0,3.1,1.3,0.7,0.6,1.6,1.6,102.7
ACEITES Y GRASAS,Aderezo italiano,1/2,cucharada,8,8,35,0.1,3.6,0.8,0.6,0.9,2.1,2.1,59.0
ACEITES Y GRASAS,Aderezo italiano bajo en calorías,3,cucharada,45,45,48,0.0,4.5,2.1,0.6,0.9,2.7,2.7,354.0
ACEITES Y GRASAS,Aderezo italiano cremoso,1/2,cucharada,8,8,28,0.0,2.8,0.8,1.0,0.0,0.0,0.0,57.5
ACEITES Y GRASAS,Aderezo italiano cremoso bajo en calorías,4,cucharada,60,60,40,2.0,2.2,6.0,0.8,0.0,0.0,0.0,560.0
ACEITES Y GRASAS,Aderezo jalapeño,1/2,cucharada,8,8,33,0.1,3.4,0.7,0.5,2.1,0.6,11.1,30.4
ACEITES Y GRASAS,Aderezo mil islas,1/2,cucharada,8,8,28,0.0,2.7,1.1,0.5,0.6,1.5,1.9,52.5
ACEITES Y GRASAS,Aderezo ranch,1/2,cucharada,8,8,44,0.0,4.7,0.5,0.8,0.0,0.0,1.3,69.8
ACEITES Y GRASAS,Aderezo roquefort,1/2,cucharada,8,8,38,0.4,3.9,0.6,0.8,0.9,2.1,1.5,82.0
ACEITES Y GRASAS,Aderezo ruso,1/2,cucharada,8,8,37,0.1,3.8,0.8,0.6,0.9,2.2,1.5,65.0
ACEITES Y GRASAS,Aderezo tipo blue cheese,1/2,cucharada,8,8,38,0.4,3.9,0.6,0.8,0.9,2.1,1.5,82.0
ACEITES Y GRASAS,Aderezo tipo cesar,1/2,cucharada,8,8,33,0.3,3.3,0.5,0.6,0.0,0.0,1.3,95.5
ACEITES Y GRASAS,Aderezo tipo francés,1/2,cucharada,8,8,32,0,3.1,1.3,0.7,0.6,1.6,0.0,102.7
ACEITES Y GRASAS,Aderezo tipo mil islas,1/2,cucharada,8,8,28,0.0,2.7,1.1,0.5,0.6,1.5,1.9,52.5
ACEITES Y GRASAS,Aderezo tipo ranch,1/2,cucharada,8,8,44,0.0,4.7,0.5,0.8,0.0,0.0,1.3,69.8
ACEITES Y GRASAS,Aderezo vinagreta casera,2,cucharada,10,10,45,0.0,5.0,0.3,0.9,1.5,2.4,0.0,0.0
ACEITES Y GRASAS,Aderezo vinagreta comercial,4,cucharadita,20,20,41,0.0,3.3,2.7,0.7,0.0,0.0,0.0,166.7
ACEITES Y GRASAS,Aguacate California,1/3,cucharadita,58,58,54,0.7,5.3,2.1,0.8,2.4,0.6,0.0,3.7
ACEITES Y GRASAS,Aguacate de pellejo,1 1/2,pieza,68,68,44,0.5,4.5,2.0,0.7,0.0,0.4,0.0,1.4
ACEITES Y GRASAS,Aguacate florida,1/3,pieza,101,101,60,0.8,4.8,4.8,0.9,0.6,0.8,0.0,2.6
ACEITES Y GRASAS,Aguacate hass,1/3,pieza,58,58,54,0.7,5.3,2.1,0.8,0.4,0.6,0.0,3.7
ACEITES Y GRASAS,Aguacate madiano,1/3,pieza,58,58,44,0.5,4.1,2.3,0.7,0.8,0.6,0.0,1.2
ACEITES Y GRASAS,Aguacate verde,1/2,pieza,48,48,46,0.5,4.6,1.5,0.8,0.6,0.5,0.0,1.0
ACEITES Y GRASAS,Calahua,1,cucharada,19,19,35,0.5,3.3,1.6,2.9,0.6,0.0,0.0,9.4
