GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),AG Saturados (g),AG Monoinsaturados (g),AG Poliinsatuirados (g),Colesterol (mg),Sodio (mg)
ACEITES Y GRASAS,Coco,8,g,8,8,41,0.5,4.3,0.9,0.0,0.5,0.0,0.0,0.0
ACEITES Y GRASAS,Coco de aceite,8,g,8,8,41,0.5,4.3,0.9,0.0,0.0,0.0,0.0,0.0
ACEITES Y GRASAS,Coco deshidratado,6,g,6,6,40,0.4,3.9,1.5,3.5,0.0,0.0,0.0,2.1
ACEITES Y GRASAS,Coco en hojuelas,2,cucharada,9,9,44,0.3,3.0,4.4,2.6,0.0,0.0,0.0,23.6
ACEITES Y GRASAS,Coco entero,25,g,25,14,42,0.5,4.6,0.7,4.1,0.5,0.1,0.0,3.2
ACEITES Y GRASAS,Coco fresco,12,g,12,12,42,0.4,4.0,1.8,3.6,0.2,0.1,0.0,2.4
ACEITES Y GRASAS,Coco rallado,1 1/2,cucharada,9,9,44,0.3,3.1,4.2,2.7,0.1,0.0,0.0,22.9
ACEITES Y GRASAS,Coco rallado y endulzado,1 1/2,cucharada,9,9,44,0.3,3.1,4.2,2.7,0.1,0.0,0.0,22.9
ACEITES Y GRASAS,Ccoc seco,1 1/2,cucharada,9,9,44,0.3,3.1,4.2,2.7,0.1,0.0,0.0,22.9
ACEITES Y GRASAS,Coco seco y endulzado,1 1/2,cucharada,9,9,44,0.3,3.1,4.2,2.7,0.1,0.0,0.0,22.9
ACEITES Y GRASAS,Coquito,8,g,8,6,41,0.5,4.3,0.9,0.0,0.0,0.0,0.0,0.0
ACEITES Y GRASAS,Crema,1,cucharada,15,15,43,0.0,3.2,2.1,2.1,0.0,0.0,10.7,0.0
ACEITES Y GRASAS,Crema 20% grasa (dulce),1 1/3,cucharada,21,21,41,0.6,4.1,0.8,2.6,1.0,0.1,14,8.5
ACEITES Y GRASAS,Crema 40% grasa (agria),1,cucharada,13,13,45,0.3,4.8,0.4,3.0,1.2,0.1,17.8,4.9
ACEITES Y GRASAS,Crema ácida,2,cucharada,21,21,46,0.7,4.4,0.9,2.8,1.2,0.2,8.8,10.5
ACEITES Y GRASAS,Crema agria,1,cucharada,13,13,44,0.3,4.8,0.4,3.0,1.2,0.1,17.6,4.9
ACEITES Y GRASAS,Crema batida,1 1/2,cuchrada,12,12,42,0.2,4.4,0.3,2.8,1.3,0.2,16.8,4.8
ACEITES Y GRASAS,Crema batida en aerosol,5,cucharada,15,15,40,0.5,3.5,2.0,2.0,1.0,0.0,10.0,20.0
ACEITES Y GRASAS,Creama chantilly,1 1/2,cucharada,12,12,42,0.2,4.4,0.3,2.8,1.3,0.2,16.8,4.8
ACEITES Y GRASAS,Creama de coco dulce,3,cucharadita,19,19,36,0.2,3.1,10.1,2.9,0.1,0.0,0.0,6.8
ACEITES Y GRASAS,Creama de coco natural,3,cucharadita,15,15,50,0.5,5.2,1.0,4.6,0.2,0.1,0.0,0.6
ACEITES Y GRASAS,Crema de leche en polvo,4,cucharadita,8,8,44,0.4,2.8,4.4,2.4,0.1,0.0,0.0,14.5
ACEITES Y GRASAS,Creama dulce,4,cucharadita,19,19,36,0.5,3.6,0.7,2.2,0.9,0.1,12.3,7.5
ACEITES Y GRASAS,Crema dulce para batir,4,cucharadita,19,19,36,0.5,3.6,0.7,2.2,0.9,0.1,12.3,7.5
ACEITES Y GRASAS,Crema entera,1,cucharada,14,14,41,0.3,4.3,0.4,2.7,1.3,0.1,15.9,4.7
ACEITES Y GRASAS,Crema Lala Light,5,cucharada,80,80,39,0.8,3.4,1.4,ND,ND,ND,ND,0.0
ACEITES Y GRASAS,Crema ligera,1,cucharada,14,14,41,0.3,4.3,0.4,2.7,1.3,1.3,15.9,4.7
ACEITES Y GRASAS,Crema natural,1,cucharada,15,15,43,0.0,3.2,2.1,2.1,0.0,0.0,10.7,0.0
ACEITES Y GRASAS,Crema para batir,1 1/2,cucharada,21,21,41,0.6,4.1,0.8,2.5,1.0,0.1,13.9,8.4
ACEITES Y GRASAS,Crema para café,1,cucharada,14,14,41,0.3,4.3,0.4,2.7,1.3,0.1,15.9,4.7
ACEITES Y GRASAS,Dip,2,cucharada,30,30,48,1.0,3.9,1.9,2.9,0.0,0.0,19.4,154.8
ACEITES Y GRASAS,Dip de cebolla,2,cucharada,30,30,48,1.0,3.9,1.9,2.9,0.0,0.0,19.4,154.8
ACEITES Y GRASAS,Dip preparado,2,cucharada,30,30,48,1.0,3.9,1.9,2.9,0.0,0.0,19.4,154.8
ACEITES Y GRASAS,Dip preparado con crema,2,cucharada,30,30,48,1.0,3.9,1.9,2.9,0.0,0.0,19.4,154.8
ACEITES Y GRASAS,Grasa de tocino,5,g,5,5,44,0.0,5.0,0.0,2.2,2.1,0.6,4.8,0.0
ACEITES Y GRASAS,Grasas animales,5,g,5,5,44,0.0,5.0,0.0,2.2,2.1,0.6,4.8,0.0
ACEITES Y GRASAS,Grasas vegetales para cocinar,5,g,5,5,44,0.0,5.0,0.0,1.2,3.3,0.4,0.0,0.0
ACEITES Y GRASAS,Guacamole,2,cucharada,28,28,46,1.0,3.7,2.7,0.0,0.0,0.0,0.0,195.7
ACEITES Y GRASAS,Lardo,5,g,5,5,45,0.0,5.0,0.0,2.0,2.1,0.5,4.8,0.0
ACEITES Y GRASAS,Manteca de cerdo,1,cucharadita,4,4,39,0.0,4.3,0.0,1.7,2.0,0.5,4.0,0.0
ACEITES Y GRASAS,Manteca vegetal,1,cucharadita,4,4,38,0.0,4.3,0.0,1.1,1.9,1.1,0.0,0.0
ACEITES Y GRASAS,Mantequilla,1 1/2,cucharadita,6,6,47,0.1,5.3,0.0,3.3,1.3,0.1,14.2,0.6
ACEITES Y GRASAS,Mantequilla con sal,1 1/2,cucharadita,6,6,47,0.1,5.3,0.0,3.3,1.3,0.1,14.2,53.6
ACEITES Y GRASAS,Mantequilla derretida,1,cucharadita,5,5,36,0.0,4.1,0.0,2.5,1.0,0.1,11.0,0.5
ACEITES Y GRASAS,Mantequilla Lala Reducida en grasa,7,cucharada,84,84,32,0.2,3.4,0.2,ND,ND,ND,ND,11.8
ACEITES Y GRASAS,Mantequilla sin sal,1 1/2,cucharadita,6,6,47,0.1,5.3,0.0,3.3,1.3,0.1,14.2,0.6
ACEITES Y GRASAS,Margarita,1,cucharadita,4,4,39,0.0,4.3,0.0,1.7,1.9,0.5,2.3,0.0
ACEITES Y GRASAS,Margarita baja en grasa,2 1/2,cucharadita,11,11,42,0.0,5.0,0.0,0.0,0.0,0.0,0.0,108.3
ACEITES Y GRASAS,Margarita con sal,1 1/2,cucharadita,6,6,47,0.1,5.2,0.1,1.0,2.3,1.6,0.0,61.2
ACEITES Y GRASAS,Margarita sin sal,1,cucharadita,4,4,39,0.0,4.3,0.0,1.7,1.9,0.5,2.3,0.0
ACEITES Y GRASAS,Mayonesa,1,cucharadita,5,5,34,0.1,3.6,0.2,0.6,2.2,0.7,12.1,27.8
ACEITES Y GRASAS,Media crema,2,cucharada,30,30,40,0.8,3.4,1.2,2.2,1.0,0.2,12.0,12.0
ACEITES Y GRASAS,Pam,5,disp.de un segundo,5,5,44,0.0,5.0,0.0,0.6,1.2,2.9,0.0,0.0
ACEITES Y GRASAS,Praliné,1/2,cucharada,8,8,36,0.2,1.9,5.0,0.1,1.2,0.5,0.0,4.9
ACEITES Y GRASAS,Queso crema,1,cucharada,13,13,46,1.0,4.6,0.4,2.9,1.3,0.2,14.4,39.0
ACEITES Y GRASAS,Queso crema bajo en grasa,1,cucharada,13,13,32,1.1,3.0,0.3,2.1,0.0,0.0,6.1,51.1
ACEITES Y GRASAS,Queso crema untable,1,cucharada,10,10,37,0.7,3.7,0.3,2.3,0.0,0.0,11.6,31.6
