GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Fibra (g),Vitamina A     (µg RE),Acido Ascórbico (mg),Acido Fólico (µg),Hierro NO HEM (mg),Potasio (mg),Indice glicémico,Carga glicémica
VERDURAS,Acelga cruda,2,taza,120,98,22,2.2,0.1,4.3,3.6,310.9,29.5,14.8,2.5,749.8,64.0,2.7
VERDURAS,Acelga picada cocida,1/2,taza,72,72,19,1.9,0.1,3.9,2.1,275.8,17.9,10.1,1.4,654.5,64.0,2.5
VERDURAS,Alcachofa mediana cocida,1,pieza,120,48,25,1.4,0.2,5.7,4.1,0.5,3.6,42.7,0.3,137.3,ND,ND
VERDURAS,Apio cocido,3/4,taza,113,113,20,0.9,0.2,4.5,1.8,29.3,6.9,24.8,0.5,319.5,ND,ND
VERDURAS,Apio crudo,1 1/2,taza,152,135,22,0.9,0.2,4.0,2.5,29.7,4.2,48.5,0.3,350.6,ND,ND
VERDURAS,Arúgula! cruda,4,taza,80,80,20,2.1,0.5,2.9,3.5,95.2,12.0,77.6,1.2,295.2,ND,ND
VERDURAS,Berenjena picada cocida,1,taza,99,99,35,0.8,0.2,8.6,2.5,2.0,1.3,13.9,0.4,245.4,ND,ND
VERDURAS,Berro crudo,2,taza,68,56,34,1.3,0.1,0.7,0.3,46.3,6.7,35.7,1.2,100.4,ND,ND
VERDURAS,Betabel crudo,1/4,pieza,43,39,19,0.8,0.1,4.3,0.3,0.8,7.8,36.4,0.6,131.0,ND,ND
VERDURAS,Betabel crudo rallado,1/4,taza,38,38,18,0.8,0.1,4.1,0.3,0.8,7.5,34.9,0.6,125.6,ND,ND
VERDURAS,Bledos crudos,150,g,150,95,27,2.4,0.3,3.8,0.9,189.5,40.6,80.3,4.1,577.4,ND,ND
VERDURAS,Brócoli cocido,1/2,taza,92,92,26,2.7,0.4,4.6,2.7,127.4,68.4,46.0,0.8,268.9,ND,ND
VERDURAS,Brócoli crudo,1,taza,88,71,19,2.1,0.3,3.7,2.1,110.2,66.4,50.2,0.6,231.7,ND,ND
VERDURAS,Calabacita alargada cruda,1,pieza,111,91,21,1.6,0.1,3.4,1.4,12.3,11.8,23.7,0.5,183.9,ND,ND
