GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Sodio (mg)
ALIMENTOS LIBRES EN ENERGIA,Comino,1,cucharadita,2,2,7,0.4,0.4,0.9,3.0
ALIMENTOS LIBRES EN ENERGIA,Comino entetro,1,cucharadita,2,2,7,0.4,0.4,0.9,3.0
ALIMENTOS LIBRES EN ENERGIA,Comino molido,1/2,cucharadita,1,1,6,0.2,0.2,0.4,2.0
ALIMENTOS LIBRES EN ENERGIA,Concentrado de pollo,3,g,3,3,6,0.4,0.1,0.7,720.0
ALIMENTOS LIBRES EN ENERGIA,Consomé,1/4,taza,60,60,10,1.2,0.3,0.2,198.8
ALIMENTOS LIBRES EN ENERGIA,Consomé de camarón en polvo,1/3,cucharada,4,4,8,0.6,0.2,1.0,950.4
ALIMENTOS LIBRES EN ENERGIA,Consomé de pescado,20,g,20,20,6,0.0,0.4,0.2,19.2
ALIMENTOS LIBRES EN ENERGIA,Consomé de pollo,1/4,taza,60,60,10,1.2,0.3,0.2,190.8
ALIMENTOS LIBRES EN ENERGIA,Consomé de pollo bajo en grasa,5,cucharada,60,60,5,0.3,0.0,0.8,120.0
ALIMENTOS LIBRES EN ENERGIA,Consomé de pollo desgarsado en polvo,1,cucharada,12,12,2,0.0,0.4,0.4,0.0
ALIMENTOS LIBRES EN ENERGIA,Consomé de pollo en cubo,1/3,pieza,2,2,4,0.3,0.1,0.5,475.2
ALIMENTOS LIBRES EN ENERGIA,Consomé de pollo en polvo,1/3,cucharada,4,4,8,0.6,0.2,1.0,950.4
ALIMENTOS LIBRES EN ENERGIA,Consiomé de res,1/2,taza,120,120,9,1.4,0.3,0.1,391.0
ALIMENTOS LIBRES EN ENERGIA,Consomé de res condesado,1/4,taza,60,60,8,1.3,0.2,0.0,391.2
ALIMENTOS LIBRES EN ENERGIA,Consomé de res en cubo,1/3,pieza,2,2,5,0.3,0.2,0.5,336.3
ALIMENTOS LIBRES EN ENERGIA,Consiomé de res en polvo,1,cucharada,12,12,2,0.0,0.2,0.4,2.0
ALIMENTOS LIBRES EN ENERGIA,Consomé de res enlatado,1/4,taza,60,60,8,1.3,0.2,0.0,291.2
ALIMENTOS LIBRES EN ENERGIA,Consomé en polvo,1/3,cucharada,4,4,8,0.6,0.2,1.0,950.4
ALIMENTOS LIBRES EN ENERGIA,Consomé sabor tomate,2,g,2,2,6,0.3,0.0,1.5,2.7
ALIMENTOS LIBRES EN ENERGIA,Cremor tártaro,1,cucharadita,3,3,8,0.0,0.0,1.8,2.0
ALIMENTOS LIBRES EN ENERGIA,Cubo consomé,1/4,pieza,6,6,12,0.8,0.2,1.4,1440.0
ALIMENTOS LIBRES EN ENERGIA,Curry,1,cucharadita,2,2,7,0.3,0.3,1.2,1.0
ALIMENTOS LIBRES EN ENERGIA,Curry en polvo,1,cucharadita,2,2,7,0.3,0.3,1.2,1.0
ALIMENTOS LIBRES EN ENERGIA,Dacaf,1,cucharadita,2,2,4,0.2,0.0,0.7,1.0
ALIMENTOS LIBRES EN ENERGIA,Diet coke,1,taza,240,240,1,0.0,0.0,0.1,3.9
ALIMENTOS LIBRES EN ENERGIA,Diet sprite,1,taza,240,240,3,0.1,0.0,0.0,0.0
ALIMENTOS LIBRES EN ENERGIA,Eneldo,5,cucharadita,8,8,3,0.3,0.1,0.5,4.2
ALIMENTOS LIBRES EN ENERGIA,Eneldo deshidratado,1,cucharadita,1,1,3,0.2,0.0,0.6,2.0
ALIMENTOS LIBRES EN ENERGIA,Enelo en semilla,1,cucharadita,2,2,6,0.3,0.3,1.1,0.0
ALIMENTOS LIBRES EN ENERGIA,Especias para sazonar aves,1,cucharadita,2,2,6,0.2,0.2,1.3,1.0
