grupo,nombre,aporte,cantidad
A.O.A MUY BAJOS EN GRASA,Molleja de pollo cocida,Sodio (mg),14.0
A.O.A MUY BAJOS EN GRASA,Molleja de pollo cocida,Selenio (mg),10.3
A.O.A MUY BAJOS EN GRASA,Pancita de res,Cantidad sugerida,45
A.O.A MUY BAJOS EN GRASA,Pancita de res,Unidad,g
A.O.A MUY BAJOS EN GRASA,Pancita de res,Peso bruto redondeado (g),45
A.O.A MUY BAJOS EN GRASA,Pancita de res,Peso neto (g),43
A.O.A MUY BAJOS EN GRASA,Pancita de res,Energia (Kcal),40
A.O.A MUY BAJOS EN GRASA,Pancita de res,Proteina (g),6.2
A.O.A MUY BAJOS EN GRASA,Pancita de res,Lípidos (g),1.7
A.O.A MUY BAJOS EN GRASA,Pancita de res,Hidratos de carbono (g),0.0
A.O.A MUY BAJOS EN GRASA,Pancita de res,Colesterol (mg),40.6
A.O.A MUY BAJOS EN GRASA,Pancita de res,Vitamina A     (µg RE),9.0
A.O.A MUY BAJOS EN GRASA,Pancita de res,Calcio (mg),25.7
A.O.A MUY BAJOS EN GRASA,Pancita de res,Hierro (mg),0.9
A.O.A MUY BAJOS EN GRASA,Pancita de res,Sodio (mg),19.7
A.O.A MUY BAJOS EN GRASA,Pancita de res,Selenio (mg),5.3
A.O.A MUY BAJOS EN GRASA,Pargo,Cantidad sugerida,70
A.O.A MUY BAJOS EN GRASA,Pargo,Unidad,g
A.O.A MUY BAJOS EN GRASA,Pargo,Peso bruto redondeado (g),70
A.O.A MUY BAJOS EN GRASA,Pargo,Peso neto (g),36
A.O.A MUY BAJOS EN GRASA,Pargo,Energia (Kcal),37
A.O.A MUY BAJOS EN GRASA,Pargo,Proteina (g),7.5
A.O.A MUY BAJOS EN GRASA,Pargo,Lípidos (g),0.7
A.O.A MUY BAJOS EN GRASA,Pargo,Hidratos de carbono (g),0.0
A.O.A MUY BAJOS EN GRASA,Pargo,Colesterol (mg),15.7
A.O.A MUY BAJOS EN GRASA,Pargo,Vitamina A     (µg RE),ND
A.O.A MUY BAJOS EN GRASA,Pargo,Calcio (mg),6.1
A.O.A MUY BAJOS EN GRASA,Pargo,Hierro (mg),0.3
A.O.A MUY BAJOS EN GRASA,Pargo,Sodio (mg),23.9
A.O.A MUY BAJOS EN GRASA,Pargo,Selenio (mg),5.0
A.O.A MUY BAJOS EN GRASA,Pargo fileteado,Cantidad sugerida,35
A.O.A MUY BAJOS EN GRASA,Pargo fileteado,Unidad,g
A.O.A MUY BAJOS EN GRASA,Pargo fileteado,Peso bruto redondeado (g),35
A.O.A MUY BAJOS EN GRASA,Pargo fileteado,Peso neto (g),35
A.O.A MUY BAJOS EN GRASA,Pargo fileteado,Energia (Kcal),36
A.O.A MUY BAJOS EN GRASA,Pargo fileteado,Proteina (g),7.4
A.O.A MUY BAJOS EN GRASA,Pargo fileteado,Lípidos (g),0.7
A.O.A MUY BAJOS EN GRASA,Pargo fileteado,Hidratos de carbono (g),0.0
A.O.A MUY BAJOS EN GRASA,Pargo fileteado,Colesterol (mg),15.4
A.O.A MUY BAJOS EN GRASA,Pargo fileteado,Vitamina A     (µg RE),ND
A.O.A MUY BAJOS EN GRASA,Pargo fileteado,Calcio (mg),6.0
A.O.A MUY BAJOS EN GRASA,Pargo fileteado,Hierro (mg),0.3
A.O.A MUY BAJOS EN GRASA,Pargo fileteado,Sodio (mg),23.5
A.O.A MUY BAJOS EN GRASA,Pargo fileteado,Selenio (mg),4.9
A.O.A MUY BAJOS EN GRASA,Pata de res,Cantidad sugerida,120
A.O.A MUY BAJOS EN GRASA,Pata de res,Unidad,g
A.O.A MUY BAJOS EN GRASA,Pata de res,Peso bruto redondeado (g),120
A.O.A MUY BAJOS EN GRASA,Pata de res,Peso neto (g),55
A.O.A MUY BAJOS EN GRASA,Pata de res,Energia (Kcal),44
A.O.A MUY BAJOS EN GRASA,Pata de res,Proteina (g),6.7
A.O.A MUY BAJOS EN GRASA,Pata de res,Lípidos (g),1.6
A.O.A MUY BAJOS EN GRASA,Pata de res,Hidratos de carbono (g),0.0
A.O.A MUY BAJOS EN GRASA,Pata de res,Colesterol (mg),ND
A.O.A MUY BAJOS EN GRASA,Pata de res,Vitamina A     (µg RE),ND
A.O.A MUY BAJOS EN GRASA,Pata de res,Calcio (mg),55.8
A.O.A MUY BAJOS EN GRASA,Pata de res,Hierro (mg),1.1
A.O.A MUY BAJOS EN GRASA,Pata de res,Sodio (mg),ND
A.O.A MUY BAJOS EN GRASA,Pata de res,Selenio (mg),ND
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo,Cantidad sugerida,1 1/2
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo,Unidad,rebanada
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo,Peso bruto redondeado (g),32
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo,Peso neto (g),32
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo,Energia (Kcal),35
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo,Proteina (g),7.1
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo,Lípidos (g),0.5
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo,Hidratos de carbono (g),0.0
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo,Colesterol (mg),13.5
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo,Vitamina A     (µg RE),0.0
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo,Calcio (mg),1.5
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo,Hierro (mg),0.1
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo,Sodio (mg),451.5
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo,Selenio (mg),9.7
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada,Cantidad sugerida,1 1/2
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada,Unidad,rebanada
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada,Peso bruto redondeado (g),34
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada,Peso neto (g),34
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada,Energia (Kcal),32
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada,Proteina (g),6.7
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada,Lípidos (g),0.3
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada,Hidratos de carbono (g),0.5
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada,Colesterol (mg),15.0
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada,Vitamina A     (µg RE),0.0
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada,Calcio (mg),5.3
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada,Hierro (mg),0.5
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada,Sodio (mg),402.8
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada,Selenio (mg),9.8
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada bajo en grasa,Cantidad sugerida,2
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada bajo en grasa,Unidad,rebanada
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada bajo en grasa,Peso bruto redondeado (g),42
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada bajo en grasa,Peso neto (g),42
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada bajo en grasa,Energia (Kcal),33
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada bajo en grasa,Proteina (g),6.3
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada bajo en grasa,Lípidos (g),0.2
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada bajo en grasa,Hidratos de carbono (g),1.5
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada bajo en grasa,Colesterol (mg),12.9
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada bajo en grasa,Vitamina A     (µg RE),0.0
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada bajo en grasa,Calcio (mg),4.0
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada bajo en grasa,Hierro (mg),0.3
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada bajo en grasa,Sodio (mg),459.6
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada bajo en grasa,Selenio (mg),12.2
A.O.A MUY BAJOS EN GRASA,Pechuda de pollo sin pile aplanada,Cantidad sugerida,30
A.O.A MUY BAJOS EN GRASA,Pechuda de pollo sin pile aplanada,Unidad,g
A.O.A MUY BAJOS EN GRASA,Pechuda de pollo sin pile aplanada,Peso bruto redondeado (g),30
A.O.A MUY BAJOS EN GRASA,Pechuda de pollo sin pile aplanada,Peso neto (g),30
A.O.A MUY BAJOS EN GRASA,Pechuda de pollo sin pile aplanada,Energia (Kcal),48
A.O.A MUY BAJOS EN GRASA,Pechuda de pollo sin pile aplanada,Proteina (g),8.7
A.O.A MUY BAJOS EN GRASA,Pechuda de pollo sin pile aplanada,Lípidos (g),1.2
A.O.A MUY BAJOS EN GRASA,Pechuda de pollo sin pile aplanada,Hidratos de carbono (g),0.0
A.O.A MUY BAJOS EN GRASA,Pechuda de pollo sin pile aplanada,Colesterol (mg),23.1
A.O.A MUY BAJOS EN GRASA,Pechuda de pollo sin pile aplanada,Vitamina A     (µg RE),2.4
A.O.A MUY BAJOS EN GRASA,Pechuda de pollo sin pile aplanada,Calcio (mg),3.9
A.O.A MUY BAJOS EN GRASA,Pechuda de pollo sin pile aplanada,Hierro (mg),0.3
A.O.A MUY BAJOS EN GRASA,Pechuda de pollo sin pile aplanada,Sodio (mg),19.5
A.O.A MUY BAJOS EN GRASA,Pechuda de pollo sin pile aplanada,Selenio (mg),6.7
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo ahumada,Cantidad sugerida,2
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo ahumada,Unidad,rebanada
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo ahumada,Peso bruto redondeado (g),42
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo ahumada,Peso neto (g),42
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo ahumada,Energia (Kcal),33
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo ahumada,Proteina (g),6.9
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo ahumada,Lípidos (g),0.1
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo ahumada,Hidratos de carbono (g),1.1
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo ahumada,Colesterol (mg),15.0
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo ahumada,Vitamina A     (µg RE),0.0
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo ahumada,Calcio (mg),1.0
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo ahumada,Hierro (mg),0.1
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo ahumada,Sodio (mg),452.0
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo ahumada,Selenio (mg),10.9
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo deshuesada sin piel cruda,Cantidad sugerida,30
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo deshuesada sin piel cruda,Unidad,g
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo deshuesada sin piel cruda,Peso bruto redondeado (g),30
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo deshuesada sin piel cruda,Peso neto (g),30
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo deshuesada sin piel cruda,Energia (Kcal),34
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo deshuesada sin piel cruda,Proteina (g),7.0
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo deshuesada sin piel cruda,Lípidos (g),0.5
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo deshuesada sin piel cruda,Hidratos de carbono (g),0.0
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo deshuesada sin piel cruda,Colesterol (mg),17.4
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo deshuesada sin piel cruda,Vitamina A     (µg RE),2.4
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo deshuesada sin piel cruda,Calcio (mg),3.6
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo deshuesada sin piel cruda,Hierro (mg),0.2
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo deshuesada sin piel cruda,Sodio (mg),20.4
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo deshuesada sin piel cruda,Selenio (mg),5.3
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel ,Cantidad sugerida,30
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel ,Unidad,g
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel ,Peso bruto redondeado (g),30
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel ,Peso neto (g),27
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel ,Energia (Kcal),31
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel ,Proteina (g),6.3
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel ,Lípidos (g),0.4
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel ,Hidratos de carbono (g),0.0
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel ,Colesterol (mg),15.7
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel ,Vitamina A     (µg RE),2.2
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel ,Calcio (mg),3.2
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel ,Hierro (mg),0.2
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel ,Sodio (mg),18.4
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel ,Selenio (mg),4.8
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel a la plancha,Cantidad sugerida,30
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel a la plancha,Unidad,g
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel a la plancha,Peso bruto redondeado (g),30
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel a la plancha,Peso neto (g),30
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel a la plancha,Energia (Kcal),48
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel a la plancha,Proteina (g),8.7
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel a la plancha,Lípidos (g),1.2
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel a la plancha,Hidratos de carbono (g),0.0
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel a la plancha,Colesterol (mg),23.1
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel a la plancha,Vitamina A     (µg RE),2.4
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel a la plancha,Calcio (mg),3.9
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel a la plancha,Hierro (mg),0.3
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel a la plancha,Sodio (mg),19.5
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel a la plancha,Selenio (mg),6.7
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel asada,Cantidad sugerida,30
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel asada,Unidad,g
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel asada,Peso bruto redondeado (g),30
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel asada,Peso neto (g),30
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel asada,Energia (Kcal),48
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel asada,Proteina (g),8.7
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel asada,Lípidos (g),1.2
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel asada,Hidratos de carbono (g),0.0
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel asada,Colesterol (mg),23.1
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel asada,Vitamina A     (µg RE),2.4
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel asada,Calcio (mg),3.9
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel asada,Hierro (mg),0.3
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel asada,Sodio (mg),19.5
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel asada,Selenio (mg),6.7
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cocida,Cantidad sugerida,30
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cocida,Unidad,g
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cocida,Peso bruto redondeado (g),30
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cocida,Peso neto (g),30
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cocida,Energia (Kcal),48
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cocida,Proteina (g),8.7
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cocida,Lípidos (g),1.2
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cocida,Hidratos de carbono (g),0.0
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cocida,Colesterol (mg),23.1
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cocida,Vitamina A     (µg RE),2.4
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cocida,Calcio (mg),3.9
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cocida,Hierro (mg),0.3
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cocida,Sodio (mg),19.5
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cocida,Selenio (mg),6.7
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cruda,Cantidad sugerida,40
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cruda,Unidad,g
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cruda,Peso bruto redondeado (g),40
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cruda,Peso neto (g),34
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cruda,Energia (Kcal),39
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cruda,Proteina (g),7.9
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cruda,Lípidos (g),0.6
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cruda,Hidratos de carbono (g),0.0
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cruda,Colesterol (mg),19.7
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cruda,Vitamina A     (µg RE),2.7
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cruda,Calcio (mg),4.1
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cruda,Hierro (mg),0.2
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cruda,Sodio (mg),23.1
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cruda,Selenio (mg),6.1
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en brocheta cruda,Cantidad sugerida,30
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en brocheta cruda,Unidad,g
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en brocheta cruda,Peso bruto redondeado (g),30
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en brocheta cruda,Peso neto (g),30
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en brocheta cruda,Energia (Kcal),34
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en brocheta cruda,Proteina (g),7.0
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en brocheta cruda,Lípidos (g),0.5
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en brocheta cruda,Hidratos de carbono (g),0.0
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en brocheta cruda,Colesterol (mg),17.4
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en brocheta cruda,Vitamina A     (µg RE),2.4
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en brocheta cruda,Calcio (mg),3.6
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en brocheta cruda,Hierro (mg),0.2
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en brocheta cruda,Sodio (mg),20.4
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en brocheta cruda,Selenio (mg),5.3
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en fajitas cruda,Cantidad sugerida,30
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en fajitas cruda,Unidad,g
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en fajitas cruda,Peso bruto redondeado (g),30
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en fajitas cruda,Peso neto (g),30
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en fajitas cruda,Energia (Kcal),34
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en fajitas cruda,Proteina (g),7.0
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en fajitas cruda,Lípidos (g),0.5
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en fajitas cruda,Hidratos de carbono (g),0.0
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en fajitas cruda,Colesterol (mg),17.4
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en fajitas cruda,Vitamina A     (µg RE),2.4
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en fajitas cruda,Calcio (mg),3.6
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en fajitas cruda,Hierro (mg),0.2
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en fajitas cruda,Sodio (mg),20.4
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel en fajitas cruda,Selenio (mg),5.3
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel horneada rebanada,Cantidad sugerida,2
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel horneada rebanada,Unidad,rebanada
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel horneada rebanada,Peso bruto redondeado (g),42
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel horneada rebanada,Peso neto (g),42
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel horneada rebanada,Energia (Kcal),41
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel horneada rebanada,Proteina (g),8.2
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel horneada rebanada,Lípidos (g),0.3
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel horneada rebanada,Hidratos de carbono (g),1.6
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel horneada rebanada,Colesterol (mg),21.5
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel horneada rebanada,Vitamina A     (µg RE),0.0
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel horneada rebanada,Calcio (mg),3.7
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel horneada rebanada,Hierro (mg),0.5
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel horneada rebanada,Sodio (mg),479.7
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel horneada rebanada,Selenio (mg),11.0
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel molida cruda,Cantidad sugerida,30
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel molida cruda,Unidad,g
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel molida cruda,Peso bruto redondeado (g),30
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel molida cruda,Peso neto (g),30
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel molida cruda,Energia (Kcal),34
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel molida cruda,Proteina (g),7.0
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel molida cruda,Lípidos (g),0.5
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel molida cruda,Hidratos de carbono (g),0.0
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel molida cruda,Colesterol (mg),17.4
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel molida cruda,Vitamina A     (µg RE),2.4
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel molida cruda,Calcio (mg),3.6
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel molida cruda,Hierro (mg),0.2
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel molida cruda,Sodio (mg),20.4
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel molida cruda,Selenio (mg),5.3
A.O.A MUY BAJOS EN GRASA,Pechuga sin piel deshebrada,Cantidad sugerida,30
A.O.A MUY BAJOS EN GRASA,Pechuga sin piel deshebrada,Unidad,g
A.O.A MUY BAJOS EN GRASA,Pechuga sin piel deshebrada,Peso bruto redondeado (g),30
A.O.A MUY BAJOS EN GRASA,Pechuga sin piel deshebrada,Peso neto (g),30
A.O.A MUY BAJOS EN GRASA,Pechuga sin piel deshebrada,Energia (Kcal),34
A.O.A MUY BAJOS EN GRASA,Pechuga sin piel deshebrada,Proteina (g),7.0
A.O.A MUY BAJOS EN GRASA,Pechuga sin piel deshebrada,Lípidos (g),0.5
A.O.A MUY BAJOS EN GRASA,Pechuga sin piel deshebrada,Hidratos de carbono (g),0.0
A.O.A MUY BAJOS EN GRASA,Pechuga sin piel deshebrada,Colesterol (mg),17.4
A.O.A MUY BAJOS EN GRASA,Pechuga sin piel deshebrada,Vitamina A     (µg RE),2.4
A.O.A MUY BAJOS EN GRASA,Pechuga sin piel deshebrada,Calcio (mg),3.6
A.O.A MUY BAJOS EN GRASA,Pechuga sin piel deshebrada,Hierro (mg),0.2
A.O.A MUY BAJOS EN GRASA,Pechuga sin piel deshebrada,Sodio (mg),20.4
A.O.A MUY BAJOS EN GRASA,Pechuga sin piel deshebrada,Selenio (mg),5.3
A.O.A MUY BAJOS EN GRASA,Pechuga sin piel desmenuzada,Cantidad sugerida,30
A.O.A MUY BAJOS EN GRASA,Pechuga sin piel desmenuzada,Unidad,g
A.O.A MUY BAJOS EN GRASA,Pechuga sin piel desmenuzada,Peso bruto redondeado (g),30
A.O.A MUY BAJOS EN GRASA,Pechuga sin piel desmenuzada,Peso neto (g),30
A.O.A MUY BAJOS EN GRASA,Pechuga sin piel desmenuzada,Energia (Kcal),34
A.O.A MUY BAJOS EN GRASA,Pechuga sin piel desmenuzada,Proteina (g),7.0
A.O.A MUY BAJOS EN GRASA,Pechuga sin piel desmenuzada,Lípidos (g),0.5
A.O.A MUY BAJOS EN GRASA,Pechuga sin piel desmenuzada,Hidratos de carbono (g),0.0
A.O.A MUY BAJOS EN GRASA,Pechuga sin piel desmenuzada,Colesterol (mg),17.4
A.O.A MUY BAJOS EN GRASA,Pechuga sin piel desmenuzada,Vitamina A     (µg RE),2.4
